sid,name,addr
92,7-ELEVEN(京發)(991551),台北市松山區南京東路五段139之4及139之8號
93,7-ELEVEN(東華)(170071),台北市北投區裕民一路40巷1號
95,7-ELEVEN(泉北)(217008),台北市北投區溫泉路70號
96,7-ELEVEN(秀山)(171166),台北市北投區中和街476號478號480號1樓
97,7-ELEVEN(新豪美)(962209),台北市北投區文林北路98號100號
98,7-ELEVEN(立農)(165839),台北市北投區承德路七段378號
99,7-ELEVEN(石捷)(962483),台北市北投區石牌路二段8號
100,7-ELEVEN(華山)(874252),台北市中正區忠孝東路一段138號
101,7-ELEVEN(八德)(263492),台北市中正區臨沂街1號1樓
102,7-ELEVEN(南海)(199245),台北市中正區南海路50號
103,7-ELEVEN(瑞德)(252687),台北市中正區新生南路一段170巷14之3號1樓
104,7-ELEVEN(金聯發)(195704),台北市內湖區金龍路137號1樓
105,7-ELEVEN(西湖)(255022),台北市內湖區內湖路一段321號
106,7-ELEVEN(馨瑩)(913621),台北市內湖區內湖路一段91巷2號
107,7-ELEVEN(康醫)(198079),台北市內湖區成功路五段420巷30號
108,7-ELEVEN(權金)(261658),台北市內湖區金湖路405號1樓
109,7-ELEVEN(集鑫)(184405),台北市士林區延平北路六段229號231號
110,7-ELEVEN(青島)(236629),台北市中正區青島東路4號
111,7-ELEVEN(掬華)(118899),台北市中正區中華路二段405號407號
112,7-ELEVEN(榮金)(956673),台北市中山區龍江路384巷1號384巷3號
113,7-ELEVEN(鑫華福)(210764),台北市中正區漢口街1段36號1樓
114,7-ELEVEN(萬和)(216876),台北市萬華區萬大路182號184號
115,7-ELEVEN(慶城)(263311),台北市中正區武昌街一段18號1樓
116,7-ELEVEN(博美)(201586),台北市中正區武昌街一段45號1樓
117,7-ELEVEN(萬東)(166876),台北市萬華區萬大路486巷61號63號65號1樓
118,7-ELEVEN(桂明)(215932),台北市萬華區桂林路55號
119,7-ELEVEN(興義)(186711),台北市萬華區興義街6號8號1樓
120,7-ELEVEN(中樂)(214054),台北市中正區延平南路47號
121,7-ELEVEN(富帆)(265502),台北市萬華區華中里萬大路464號一樓
123,7-ELEVEN(萬長)(216430),台北市萬華區東園街78號1樓
124,7-ELEVEN(新起)(149321),台北市萬華區長沙街二段87號1樓
125,7-ELEVEN(鑫樂昇)(252296),台北市萬華區武昌街二段114之3號.之4號
126,7-ELEVEN(漢陽)(190927),台北市萬華區昆明街197號199號1樓
127,7-ELEVEN(華雙)(975951),台北市萬華區環河南路二段252號1樓環河南路二段250巷1號1樓
128,7-ELEVEN(園舺)(149675),台北市萬華區西園路二段140巷52號52號之1號
129,7-ELEVEN(成都)(264635),台北市萬華區成都路96號1樓
130,7-ELEVEN(新士林)(132574),台北市士林區大東路123號125號1樓
131,7-ELEVEN(承河)(121127),台北市士林區基河路132號1樓
132,7-ELEVEN(福通)(992381),台北市士林區大南路400號402號1樓
133,7-ELEVEN(新劍潭)(213855),台北市士林區福港街246號248號
